2017-05-24 08:09:21 upgrade base-passwd:armhf 3.5.26 3.5.26
2017-05-24 08:09:21 status half-configured base-passwd:armhf 3.5.26
2017-05-24 08:09:21 status unpacked base-passwd:armhf 3.5.26
2017-05-24 08:09:21 status half-installed base-passwd:armhf 3.5.26
2017-05-24 08:09:21 status half-installed base-passwd:armhf 3.5.26
2017-05-24 08:09:21 status unpacked base-passwd:armhf 3.5.26
2017-05-24 08:09:21 status unpacked base-passwd:armhf 3.5.26
2017-05-24 08:09:21 install bash:armhf <none> 4.2+dfsg-0.1+deb7u3
2017-05-24 08:09:21 status half-installed bash:armhf 4.2+dfsg-0.1+deb7u3
2017-05-24 08:09:21 status unpacked bash:armhf 4.2+dfsg-0.1+deb7u3
2017-05-24 08:09:21 status unpacked bash:armhf 4.2+dfsg-0.1+deb7u3
2017-05-24 08:09:21 install libbz2-1.0:armhf <none> 1.0.6-4
2017-05-24 08:09:21 status half-installed libbz2-1.0:armhf 1.0.6-4
2017-05-24 08:09:21 status unpacked libbz2-1.0:armhf 1.0.6-4
2017-05-24 08:09:21 status unpacked libbz2-1.0:armhf 1.0.6-4
2017-05-24 08:09:21 install coreutils:armhf <none> 8.13-3.5
2017-05-24 08:09:21 status half-installed coreutils:armhf 8.13-3.5
2017-05-24 08:09:22 status unpacked coreutils:armhf 8.13-3.5
2017-05-24 08:09:22 status unpacked coreutils:armhf 8.13-3.5
2017-05-24 08:09:22 install dash:armhf <none> 0.5.7-3
2017-05-24 08:09:22 status half-installed dash:armhf 0.5.7-3
2017-05-24 08:09:22 status unpacked dash:armhf 0.5.7-3
2017-05-24 08:09:22 status unpacked dash:armhf 0.5.7-3
2017-05-24 08:09:22 install libdb5.1:armhf <none> 5.1.29-5
2017-05-24 08:09:22 status half-installed libdb5.1:armhf 5.1.29-5
2017-05-24 08:09:22 status unpacked libdb5.1:armhf 5.1.29-5
2017-05-24 08:09:22 status unpacked libdb5.1:armhf 5.1.29-5
2017-05-24 08:09:22 upgrade debconf:all 1.5.49 1.5.49
2017-05-24 08:09:22 status half-configured debconf:all 1.5.49
2017-05-24 08:09:23 status unpacked debconf:all 1.5.49
2017-05-24 08:09:23 status half-installed debconf:all 1.5.49
2017-05-24 08:09:23 status half-installed debconf:all 1.5.49
2017-05-24 08:09:23 status unpacked debconf:all 1.5.49
2017-05-24 08:09:23 status unpacked debconf:all 1.5.49
2017-05-24 08:09:23 install debconf-i18n:all <none> 1.5.49
2017-05-24 08:09:23 status half-installed debconf-i18n:all 1.5.49
2017-05-24 08:09:23 status unpacked debconf-i18n:all 1.5.49
2017-05-24 08:09:23 status unpacked debconf-i18n:all 1.5.49
2017-05-24 08:09:23 install debianutils:armhf <none> 4.3.2
2017-05-24 08:09:23 status half-installed debianutils:armhf 4.3.2
2017-05-24 08:09:23 status unpacked debianutils:armhf 4.3.2
2017-05-24 08:09:23 status unpacked debianutils:armhf 4.3.2
2017-05-24 08:09:23 install diffutils:armhf <none> 1:3.2-6
2017-05-24 08:09:23 status half-installed diffutils:armhf 1:3.2-6
2017-05-24 08:09:23 status unpacked diffutils:armhf 1:3.2-6
2017-05-24 08:09:23 status unpacked diffutils:armhf 1:3.2-6
2017-05-24 08:09:23 upgrade dpkg:armhf 1.16.18 1.16.18
2017-05-24 08:09:23 status half-configured dpkg:armhf 1.16.18
2017-05-24 08:09:23 status unpacked dpkg:armhf 1.16.18
2017-05-24 08:09:23 status half-installed dpkg:armhf 1.16.18
2017-05-24 08:09:24 status half-installed dpkg:armhf 1.16.18
2017-05-24 08:09:24 status unpacked dpkg:armhf 1.16.18
2017-05-24 08:09:24 status unpacked dpkg:armhf 1.16.18
2017-05-24 08:09:24 install e2fslibs:armhf <none> 1.42.5-1.1+deb7u1
2017-05-24 08:09:24 status half-installed e2fslibs:armhf 1.42.5-1.1+deb7u1
2017-05-24 08:09:24 status unpacked e2fslibs:armhf 1.42.5-1.1+deb7u1
2017-05-24 08:09:24 status unpacked e2fslibs:armhf 1.42.5-1.1+deb7u1
2017-05-24 08:09:24 install e2fsprogs:armhf <none> 1.42.5-1.1+deb7u1
2017-05-24 08:09:24 status half-installed e2fsprogs:armhf 1.42.5-1.1+deb7u1
2017-05-24 08:09:24 status unpacked e2fsprogs:armhf 1.42.5-1.1+deb7u1
2017-05-24 08:09:24 status unpacked e2fsprogs:armhf 1.42.5-1.1+deb7u1
2017-05-24 08:09:24 install libcomerr2:armhf <none> 1.42.5-1.1+deb7u1
2017-05-24 08:09:24 status half-installed libcomerr2:armhf 1.42.5-1.1+deb7u1
2017-05-24 08:09:24 status unpacked libcomerr2:armhf 1.42.5-1.1+deb7u1
2017-05-24 08:09:24 status unpacked libcomerr2:armhf 1.42.5-1.1+deb7u1
2017-05-24 08:09:25 install libss2:armhf <none> 1.42.5-1.1+deb7u1
2017-05-24 08:09:25 status half-installed libss2:armhf 1.42.5-1.1+deb7u1
2017-05-24 08:09:25 status unpacked libss2:armhf 1.42.5-1.1+deb7u1
2017-05-24 08:09:25 status unpacked libss2:armhf 1.42.5-1.1+deb7u1
2017-05-24 08:09:25 install libc-bin:armhf <none> 2.13-38+deb7u10
2017-05-24 08:09:25 status half-installed libc-bin:armhf 2.13-38+deb7u10
2017-05-24 08:09:25 status unpacked libc-bin:armhf 2.13-38+deb7u10
2017-05-24 08:09:25 status unpacked libc-bin:armhf 2.13-38+deb7u10
2017-05-24 08:09:25 upgrade libc6:armhf 2.13-38+deb7u10 2.13-38+deb7u10
2017-05-24 08:09:25 status half-configured libc6:armhf 2.13-38+deb7u10
2017-05-24 08:09:25 status unpacked libc6:armhf 2.13-38+deb7u10
2017-05-24 08:09:25 status half-installed libc6:armhf 2.13-38+deb7u10
2017-05-24 08:09:27 status half-installed libc6:armhf 2.13-38+deb7u10
2017-05-24 08:09:27 status unpacked libc6:armhf 2.13-38+deb7u10
2017-05-24 08:09:27 status unpacked libc6:armhf 2.13-38+deb7u10
2017-05-24 08:09:27 install multiarch-support:armhf <none> 2.13-38+deb7u10
2017-05-24 08:09:27 status half-installed multiarch-support:armhf 2.13-38+deb7u10
2017-05-24 08:09:27 status unpacked multiarch-support:armhf 2.13-38+deb7u10
2017-05-24 08:09:27 status unpacked multiarch-support:armhf 2.13-38+deb7u10
2017-05-24 08:09:27 install findutils:armhf <none> 4.4.2-4
2017-05-24 08:09:27 status half-installed findutils:armhf 4.4.2-4
2017-05-24 08:09:27 status unpacked findutils:armhf 4.4.2-4
2017-05-24 08:09:27 status unpacked findutils:armhf 4.4.2-4
2017-05-24 08:09:28 install gcc-4.7-base:armhf <none> 4.7.2-5
2017-05-24 08:09:28 status half-installed gcc-4.7-base:armhf 4.7.2-5
2017-05-24 08:09:28 status unpacked gcc-4.7-base:armhf 4.7.2-5
2017-05-24 08:09:28 status unpacked gcc-4.7-base:armhf 4.7.2-5
2017-05-24 08:09:28 install libgcc1:armhf <none> 1:4.7.2-5
2017-05-24 08:09:28 status half-installed libgcc1:armhf 1:4.7.2-5
2017-05-24 08:09:28 status unpacked libgcc1:armhf 1:4.7.2-5
2017-05-24 08:09:28 status unpacked libgcc1:armhf 1:4.7.2-5
2017-05-24 08:09:28 install grep:armhf <none> 2.12-2
2017-05-24 08:09:28 status half-installed grep:armhf 2.12-2
2017-05-24 08:09:28 status unpacked grep:armhf 2.12-2
2017-05-24 08:09:28 status unpacked grep:armhf 2.12-2
2017-05-24 08:09:28 install gzip:armhf <none> 1.5-1.1
2017-05-24 08:09:28 status half-installed gzip:armhf 1.5-1.1
2017-05-24 08:09:28 status unpacked gzip:armhf 1.5-1.1
2017-05-24 08:09:28 status unpacked gzip:armhf 1.5-1.1
2017-05-24 08:09:28 install hostname:armhf <none> 3.11
2017-05-24 08:09:28 status half-installed hostname:armhf 3.11
2017-05-24 08:09:28 status unpacked hostname:armhf 3.11
2017-05-24 08:09:28 status unpacked hostname:armhf 3.11
2017-05-24 08:09:28 install insserv:armhf <none> 1.14.0-5
2017-05-24 08:09:28 status half-installed insserv:armhf 1.14.0-5
2017-05-24 08:09:28 status unpacked insserv:armhf 1.14.0-5
2017-05-24 08:09:28 status unpacked insserv:armhf 1.14.0-5
2017-05-24 08:09:28 install liblocale-gettext-perl:armhf <none> 1.05-7+b3
2017-05-24 08:09:28 status half-installed liblocale-gettext-perl:armhf 1.05-7+b3
2017-05-24 08:09:28 status unpacked liblocale-gettext-perl:armhf 1.05-7+b3
2017-05-24 08:09:28 status unpacked liblocale-gettext-perl:armhf 1.05-7+b3
2017-05-24 08:09:29 install libselinux1:armhf <none> 2.1.9-5
2017-05-24 08:09:29 status half-installed libselinux1:armhf 2.1.9-5
2017-05-24 08:09:29 status unpacked libselinux1:armhf 2.1.9-5
